archivo	paginas_est	copias_min	por_que
START_HERE_PAPEL.txt	2	3	Explica qué es esto y cómo abrirlo a quien encuentre el disco sin contexto
fichas/01-agua-hervir-clorar.md	1	3	El agua sucia mata más rápido que el hambre; se consulta a diario
fichas/02-filtro-lento-de-arena.md	1	2	Agua para varias familias sin leña; el error de construcción se paga en meses
fichas/03-letrina-y-pozo.md	1	2	Una letrina mal puesta contamina el agua de todos
fichas/04-diarrea-y-rehidratacion.md	1	3	Primera causa de muerte evitable en niños; receta de suero que se usa a diario
fichas/05-herida-y-hemorragia.md	1	3	Minutos cuentan; se usa con las manos sucias y sin tiempo de leer un PDF
fichas/06-parto-de-emergencia.md	1	2	Pasa sin aviso y con nadie entrenado; señales de alarma memorizables
fichas/07-fiebre-cuando-no-improvisar.md	1	2	Evita repartir antibióticos a ciegas y enseña los signos de gravedad
fichas/08-jabon.md	1	2	Lavarse las manos corta más enfermedad que cualquier remedio guardado
fichas/09-conservar-comida.md	1	2	Sin conservar, la cosecha se pudre y en tres meses hay hambre; botulismo
fichas/10-compost-y-huerta-mes-1.md	1	2	Lo que no se siembra el mes 1 no aparece el mes 4
fichas/11-guardar-semilla.md	1	2	Sin semilla propia la huerta dura una temporada
fichas/12-lena-y-monoxido.md	1	2	El monóxido mata familias dormidas; error frecuente el primer invierno
fichas/13-sismo-y-tsunami.md	1	3	Cono Sur: no es probabilidad, es cuestión de tiempo; la regla del tsunami salva
fichas/14-botiquin.md	1	1	Qué tener antes y qué no esperar del asistente
fichas/15-dientes.md	1	1	Una muela infectada incapacita a un adulto y puede matar
fichas/16-gallinas.md	1	1	Proteína semanal con poco terreno; encierro nocturno y reposición
fichas/17-radio-y-senales.md	1	1	Saber qué pasa afuera y que sepan que estás aquí
fichas/18-copiar-a-usb-y-verificar.md	1	2	El archivo se pierde en silencio si nadie verifica ni copia
fichas/19-que-imprimir-con-100-hojas.md	1	1	Orden de impresión cuando se acaba la tinta
fichas/20-la-ia-puede-mentir.md	1	2	Evita que alguien tome una dosis inventada por el modelo
